count,firstDocument,lastDocument,nextUrl,resultItemList.detailUrl,resultItemList.jobTitle,resultItemList.company,resultItemList.location,resultItemList.date,,,,,
1,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/90929690/DIRECTOR?src=19,PMO Director / Deputy PMO,Parmesoft Inc.,Seattle,,,,,
2,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10109101T/739892?src=19,Hadoop Administrator,Midwest Consulting Group,,,,,,
3,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/GLOPA/2016-1473?src=19,Manager,,,,,,,
4,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/amazonkc/440840?src=19,Senior Cloud Technical Account Manager,Amazon,San Francisco,,,,,
5,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10116608/14978?src=19,Computer Security Systems Specialist -14978,Camber Corporation,Hurlburt Field,,,,,
6,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10202637/21048?src=19,IT Resources Analyst,City of Virginia Beach,Virginia Beach,,,,,
7,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10120349/AccountEXec?src=19,Business Development & Account Managers,InfoTech Spectrum Inc,santa clara,,,,,
8,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/CUEDATA/16-07098?src=19,Data Analytics Specialist for an NTTD Ownded Project in Chicago,,,,,,,
9,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTX1b6efa/4726008?src=19,java developer j2ee developer,TrafficCast International,,,,,,
10,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/cybercod/RE1-1288407102?src=19,Optical Engineer,CyberCoders,Ithaca,,,,,
11,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10120503/82647BR?src=19,Principal Software Engineer (Web/Database Development),ManTech Advanced Systems International,McLean,,,,,
12,2347,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTX19069f/739150?src=19,IT Network Administrator,Lansing Board of Water and Light,Lansing,,,,,
